SenPai Scanner — live results
Started: 2026-06-05 01:23:49
Updated: 2026-06-05 01:24:50
Plan: Phase 1 connectivity, then Phase 2 xray validation

=== Phase 1 — connectivity (661 healthy / 1758 probed) ===

  ENDPOINT                   LOSS    AVG(ms)      COLO  STATUS
  104.19.192.194:443        33.3%     318.00  FRA       healthy
  104.18.142.72:443          0.0%     318.00  FRA       healthy
  104.21.225.162:443         0.0%     318.00  MXP       healthy
  104.27.52.218:443          0.0%     318.00  FRA       healthy
  104.19.212.152:443         0.0%     318.00  FRA       healthy
  104.18.112.234:443         0.0%     318.00  FRA       healthy
  162.159.247.42:443        33.3%     318.00  FRA       healthy
  104.18.247.14:443          0.0%     318.00  FRA       healthy
  198.41.211.126:443         0.0%     318.00  FRA       healthy
  104.21.225.165:443         0.0%     318.00  MXP       healthy
  198.41.211.123:443         0.0%     318.00  FRA       healthy
  104.17.56.158:443         33.3%     318.00  FRA       healthy
  162.159.58.207:443        33.3%     318.00  FRA       healthy
  190.93.247.13:443          0.0%     318.00  FRA       healthy
  190.93.244.131:443         0.0%     318.00  FRA       healthy
  104.16.251.74:443          0.0%     319.00  FRA       healthy
  104.24.159.55:443          0.0%     319.00  FRA       healthy
  173.245.49.233:443         0.0%     319.00  FRA       healthy
  172.67.126.35:443          0.0%     319.00  FRA       healthy
  104.24.142.24:443          0.0%     319.00  FRA       healthy
  104.25.33.66:443           0.0%     319.00  FRA       healthy
  198.41.209.90:443         33.3%     319.00  FRA       healthy
  104.19.56.29:443           0.0%     319.00  FRA       healthy
  141.101.121.176:443        0.0%     319.00  FRA       healthy
  104.17.134.200:443         0.0%     319.00  FRA       healthy
  141.101.114.38:443        33.3%     319.00  FRA       healthy
  162.159.247.39:443        33.3%     319.00  FRA       healthy
  190.93.244.133:443         0.0%     319.00  FRA       healthy
  104.27.37.253:443          0.0%     319.00  FRA       healthy
  190.93.244.57:443          0.0%     319.00  FRA       healthy
  162.159.247.45:443         0.0%     319.00  FRA       healthy
  104.18.212.168:443         0.0%     319.00  FRA       healthy
  198.41.209.88:443          0.0%     319.00  FRA       healthy
  104.26.13.92:443           0.0%     319.00  FRA       healthy
  104.25.41.173:443          0.0%     319.00  FRA       healthy
  104.24.153.11:443          0.0%     319.00  FRA       healthy
  104.19.40.168:443          0.0%     319.00  FRA       healthy
  198.41.197.15:443          0.0%     319.00  FRA       healthy
  172.67.96.251:443          0.0%     319.00  FRA       healthy
  104.27.34.80:443           0.0%     319.00  FRA       healthy
  198.41.215.50:443          0.0%     319.00  FRA       healthy
  162.159.58.211:443         0.0%     319.00  FRA       healthy
  188.114.99.67:443          0.0%     319.00  MXP       healthy
  104.27.52.210:443          0.0%     320.00  FRA       healthy
  104.27.52.220:443          0.0%     320.00  FRA       healthy
  104.24.202.244:443         0.0%     320.00  FRA       healthy
  198.41.217.89:443          0.0%     320.00  FRA       healthy
  198.41.209.140:443         0.0%     320.00  FRA       healthy
  190.93.247.11:443         33.3%     320.00  FRA       healthy
  162.159.93.208:443         0.0%     320.00  FRA       healthy
  141.101.115.193:443        0.0%     320.00  FRA       healthy
  141.101.115.196:443        0.0%     320.00  FRA       healthy
  104.24.23.151:443          0.0%     320.00  FRA       healthy
  141.101.115.194:443        0.0%     320.00  FRA       healthy
  104.17.213.0:443           0.0%     320.00  FRA       healthy
  104.27.52.217:443          0.0%     320.00  FRA       healthy
  188.114.97.103:443         0.0%     320.00  MXP       healthy
  104.17.212.254:443         0.0%     320.00  FRA       healthy
  198.41.197.14:443         33.3%     320.00  FRA       healthy
  104.19.212.154:443         0.0%     321.00  FRA       healthy
  104.24.130.185:443         0.0%     321.00  FRA       healthy
  198.41.215.45:443         33.3%     321.00  FRA       healthy
  104.18.112.231:443         0.0%     321.00  FRA       healthy
  104.27.125.254:443         0.0%     321.00  FRA       healthy
  188.114.97.215:443         0.0%     321.00  MXP       healthy
  198.41.215.47:443          0.0%     322.00  FRA       healthy
  104.18.142.74:443          0.0%     322.00  FRA       healthy
  198.41.211.124:443         0.0%     322.00  FRA       healthy
  104.16.19.231:443          0.0%     322.00  FRA       healthy
  104.18.166.48:443          0.0%     322.00  FRA       healthy
  162.159.33.127:443         0.0%     322.00  FRA       healthy
  173.245.59.71:443          0.0%     322.00  FRA       healthy
  188.114.96.55:443          0.0%     322.00  MXP       healthy
  141.101.115.215:443        0.0%     323.00  FRA       healthy
  190.93.247.253:443         0.0%     323.00  FRA       healthy
  104.24.216.85:443          0.0%     323.00  FRA       healthy
  198.41.202.220:443        33.3%     324.00  FRA       healthy
  104.21.82.250:443         33.3%     324.00  MXP       healthy
  188.114.98.74:443          0.0%     325.00  MXP       healthy
  104.21.1.213:443           0.0%     325.00  MXP       healthy
  141.101.115.197:443        0.0%     325.00  FRA       healthy
  104.19.252.26:443          0.0%     325.00  FRA       healthy
  188.114.96.186:443         0.0%     326.00  MXP       healthy
  198.41.211.125:443         0.0%     328.00  FRA       healthy
  104.21.80.243:443         33.3%     328.00  MXP       healthy
  188.114.97.59:443          0.0%     329.00  MXP       healthy
  190.93.244.51:443          0.0%     330.00  FRA       healthy
  188.114.96.185:443         0.0%     333.00  MXP       healthy
  188.114.99.60:443          0.0%     334.00  MXP       healthy
  172.67.131.212:443        33.3%     336.00  FCO       healthy
  172.67.130.169:443         0.0%     337.00  VIE       healthy
  188.114.97.190:443         0.0%     338.00  MXP       healthy
  172.67.128.34:443          0.0%     341.00  VIE       healthy
  104.21.225.163:443         0.0%     341.00  MXP       healthy
  172.67.131.211:443         0.0%     341.00  FCO       healthy
  172.67.130.163:443         0.0%     342.00  VIE       healthy
  188.114.98.166:443         0.0%     342.00  MXP       healthy
  172.67.131.209:443         0.0%     343.00  FCO       healthy
  172.67.130.170:443         0.0%     344.00  VIE       healthy
  108.162.198.45:443         0.0%     346.00  VIE       healthy
  172.65.45.138:443          0.0%     346.00  MXP       healthy
  108.162.198.90:443         0.0%     347.00  VIE       healthy
  108.162.198.46:443         0.0%     348.00  VIE       healthy
  188.114.97.56:443          0.0%     348.00  MXP       healthy
  172.67.131.210:443         0.0%     348.00  VIE       healthy
  188.114.99.69:443          0.0%     348.00  MXP       healthy
  104.21.101.29:443          0.0%     348.00  MXP       healthy
  108.162.198.48:443         0.0%     350.00  VIE       healthy
  172.67.131.213:443         0.0%     351.00  VIE       healthy
  172.67.130.165:443         0.0%     351.00  VIE       healthy
  172.67.130.166:443         0.0%     352.00  VIE       healthy
  104.18.142.78:443          0.0%     353.00  FRA       healthy
  104.27.125.252:443         0.0%     354.00  FRA       healthy
  172.65.9.154:443           0.0%     354.00  MXP       healthy
  198.41.209.89:443          0.0%     354.00  FRA       healthy
  104.19.212.157:443         0.0%     355.00  FRA       healthy
  104.25.67.242:443          0.0%     355.00  FRA       healthy
  104.21.14.127:443          0.0%     355.00  MXP       healthy
  104.24.142.90:443          0.0%     355.00  FRA       healthy
  141.101.115.198:443        0.0%     356.00  FRA       healthy
  104.17.226.222:443         0.0%     356.00  FRA       healthy
  198.41.209.138:443         0.0%     356.00  FRA       healthy
  104.19.212.156:443         0.0%     356.00  FRA       healthy
  141.101.121.177:443        0.0%     356.00  FRA       healthy
  104.25.198.210:443         0.0%     356.00  FRA       healthy
  104.19.96.212:443          0.0%     356.00  FRA       healthy
  104.24.142.21:443          0.0%     356.00  FRA       healthy
  104.19.245.97:443          0.0%     356.00  FRA       healthy
  104.18.112.235:443         0.0%     356.00  FRA       healthy
  162.159.8.145:443          0.0%     356.00  FRA       healthy
  173.245.49.236:443         0.0%     357.00  FRA       healthy
  172.67.126.34:443          0.0%     357.00  FRA       healthy
  104.25.157.144:443         0.0%     357.00  FRA       healthy
  104.16.93.124:443          0.0%     357.00  FRA       healthy
  162.159.8.143:443          0.0%     357.00  FRA       healthy
  104.18.91.23:443           0.0%     357.00  FRA       healthy
  104.16.38.179:443          0.0%     357.00  FRA       healthy
  104.19.56.35:443           0.0%     357.00  FRA       healthy
  198.41.217.153:443         0.0%     357.00  FRA       healthy
  104.25.198.208:443         0.0%     357.00  FRA       healthy
  104.19.192.191:443         0.0%     357.00  FRA       healthy
  104.24.142.23:443          0.0%     357.00  FRA       healthy
